Number;Type;X;Y;Z
1;2;20.967428;81.046029;-53.680394
1;2;80.650381;81.046029;130.010500
1;2;-4.357755;81.046029;-43.419648
1;2;104.274126;81.046029;116.278548
1;2;-25.807231;81.046029;-26.491336
1;2;123.120023;81.046029;96.492696
1;2;-41.672349;81.046029;-4.243957
1;2;135.686820;81.046029;72.229073
1;2;-50.689301;81.046029;21.550274
1;2;140.973453;81.046029;45.420505
1;2;-52.139802;81.046029;48.836605
1;2;138.558791;81.046029;18.202547
1;2;-45.908307;81.046029;75.441422
1;2;128.635186;81.046029;-7.256633
1;2;-32.491212;81.046029;99.245400
1;2;111.993145;81.046029;-28.928972
1;2;-12.957316;81.046029;118.352328
1;2;89.958364;81.046029;-45.088064
1;2;11.137322;81.046029;131.240159
1;2;64.286122;81.046029;-54.446685
1;2;37.873338;81.046029;136.882257
1;2;37.021455;81.046029;-56.259332
1;2;65.120955;81.046029;134.829174
1;2;10.336249;81.046029;-50.381611
1;2;90.709645;81.046029;125.244458
1;2;-13.643766;81.046029;-37.281739
1;2;112.601026;81.046029;108.891622
